Variation ID	Chromosome	Trait	p-Value	Catalogue ID	Risk Allele	Allele Frequency	Population	Region	Genes	Platform	PubMed
rs6679677	chr1	Systemic seropositive rheumatic diseases (Systemic sclerosis or systemic lupus erythematosus or rheumatoid arthritis or idiopathic inflammatory myopathies)	2E-28	rs6679677	None	None	up to 4,595 European ancestry rheumatoid arthritis cases, up to 3,154 European ancestry systemic lupus erythematosus cases, up to 2,281 European ancestry systemic sclerosis cases, up to 1,674 European ancestry idiopathic inflammatory myopathy cases, 19,704 European ancestry controls	1p13.2	PHTF1-RSBN1	Illumina [6450125] (imputed)	30573655
rs6679677	chr1	Type 1 diabetes autoantibodies in high risk HLA genotype individuals (time to event)	2E-6	rs6679677	None	0.114	5,806 European ancestry children	1p13.2	PTPN22	Illumina [131847]	29310926
rs6679677	chr1	Type 1 diabetes autoantibodies in high risk HLA genotype individuals (time to event)	2E-6	rs6679677	None	0.114	5,806 European ancestry children	1p13.2	PTPN22	Illumina [131847]	29310926
rs6679677	chr1	Systemic lupus erythematosus	2E-23	rs6679677	None	None	6,748 European ancestry cases, 11,516 European ancestry controls	1p13.2	PTPN22	Illumina [at least 5000000] (imputed)	28714469
rs6679677	chr1	Antineutrophil cytoplasmic antibody-associated vasculitis	2E-8	rs6679677	None	0.09	1,015 European ancestry granulomatosis with polyangiitis cases, 206 European ancestry microscopic polyangiitis cases, 3,258 European ancestry controls.	1p13.2	PTPN22	Affymetrix [at least 333035] (imputed)	28029757
rs6679677	chr1	Monokine induced by gamma interferon levels	9E-7	rs6679677	None	None	3,685 Finnish ancestry individuals	1p13.2	None	NR [10700000] (imputed)	27989323
rs6679677	chr1	Celiac disease and Rheumatoid arthritis	1E-53	rs6679677	None	None	371 South Asian ancestry celiac disease cases, 3,138 European ancestry celiac disease cases,  4,418 European ancestry rheumatoid arthritis cases,  509 South Asian ancestry celiac disease controls, 2,473 European ancestry celiac disease controls, 3,300 European ancestry rheumatoid arthritis controls, 8,872 celiac disease cases, 9,401 rheumatoid arthritis cases, 4,845 celiac disease controls, 9,627 rheumatoid arthritis controls	1p13.2	RSBN1	Illumina [109572]	26546613
rs6679677	chr1	Systemic lupus erythematosus	1E-15	rs6679677	None		5,201 European ancestry cases, 9,066 European ancestry controls	1p13.2	PTPN22	Illumina [> 644674] (imputed)	26502338
rs6679677	chr1	Pediatric autoimmune diseases	8E-11	rs6679677	None	0.09	97 European ancestry thyroiditis cases, 107 European ancestry ankylosing spondylitis cases, 100 European ancestry psoriasis cases, 173 European ancestry celiac disease cases, 254 European ancestry systemic lupus erythematosus cases, 308 European ancestry common variable inmunodeficiency cases, 865 European ancestry ulcerative colitis cases, 1,086 European ancestry Type 1 diabetes cases, 1,123  European ancestry juvenile idiopathic arthritis cases, 1,922  European ancestry Crohn's disease cases, 10,718 European ancestry controls	1p13.2	PTPN22	Illumina [7347414] (imputed)	26301688
rs6679677	chr1	Giant cell arteritis	1E-6	rs6679677	None	0.095	1,651 European ancestry cases, 15,306 European ancestry controls	1p13.2	PTPN22	Illumina [95416]	25817017
rs6679677	chr1	Juvenile idiopathic arthritis (oligoarticular or rheumatoid factor-negative polyarticular)	3E-25	rs6679677	None	0.1	2,816 European ancestry cases, 13,056 European ancestry controls	1p13.2	PTPN22	Illumina [123003]	23603761
rs6679677	chr1	Crohn's disease	2E-15	rs6679677	None	0.907	Up to 12,924 European ancestry cases, up to 21,442 European ancestry controls	1p13.2	DCLRE1B, PTPN22	Affymetrix, Illumina [1230000] (imputed)	23128233
rs6679677	chr1	Hypothyroidism	3E-13	rs6679677	None	0.091	3,736 European ancestry cases, 35,546 European ancestry controls	1p13.2	PHTF1, RSBN1, PTPN22	Illumina [870065]	22493691
rs6679677	chr1	Type 1 diabetes	1E-40	rs6679677	None	None	3,561 European ancestry cases, 4,646 European ancestry controls	1p13.2	PTPN22	Affymetrix [up to 335565]	18978792
rs6679677	chr1	Rheumatoid arthritis	6E-42	rs6679677	None	0.10	3,393 European ancestry cases, 12,460 European ancestry controls	1p13.2	PTPN22	Affymetrix, Illumina [at least 315971] (imputed)	18794853
rs6679677	chr1	Type 1 diabetes	5E-26	rs6679677	None	0.10	1,963 European ancestry cases, 2,938 European ancestry controls	1p13.2	PTPN22	Affymetrix [469557]	17554300
rs6679677	chr1	Rheumatoid arthritis	6E-25	rs6679677	None	0.10	1,860 European ancestry cases, 2,938 European ancestry controls	1p13.2	PTPN22	Affymetrix [469557]	17554300
rs6679677	chr1	Type 1 diabetes	8E-24	rs6679677	None	0.10	2,000 European ancestry cases, 3,000 European ancestry controls	1p13.2	PHTF1, PTPN22	Affymetrix [NR]	17554260
rs2476601	chr1	White blood cell count	1E-64	rs2476601	None	0.90238	746,667 African American or Afro-Caribbean, African ancestry, European ancestry, East Asian ancestry, Hispanic or Latin American and South Asian ancestry individuals	1p13.2	None	Affymetrix, Illumina [24649327] (imputed)	32888493
rs2476601	chr1	Monocyte count	1E-10	rs2476601	None	0.899691	521,594 European ancestry individuals	1p13.2	None	Affymetrix, Illumina [50262088] (imputed)	32888493
rs2476601	chr1	Lymphocyte counts	1E-63	rs2476601	None	0.902093	643,370 African American or Afro-Caribbean, African ancestry, European ancestry, East Asian ancestry, Hispanic or Latin American and South Asian ancestry individuals	1p13.2	None	Affymetrix, Illumina [23472807] (imputed)	32888493
rs2476601	chr1	Lymphocyte counts	1E-67	rs2476601	None	0.899687	524,923 European ancestry individuals	1p13.2	None	Affymetrix, Illumina [50265552] (imputed)	32888493
rs2476601	chr1	Autoimmune thyroid disease	2E-160	rs2476601	None	0.097	30,234 European ancestry cases, 724,172 European ancestry controls	1p13.2	PTPN22	Affymetrix, Illumina [42900000] (imputed)	32581359
rs2476601	chr1	Basal cell carcinoma	2E-14	rs2476601	None	0.91717	31,787 European ancestry cases, 619,351 European ancestry controls	1p13.2	PHTF1	Affymetrix, Illumina [up to 9061544] (imputed)	31174203
rs2476601	chr1	Medication use (thyroid preparations)	3E-169	rs2476601	None	0.102931	24,832 European ancestry cases, 280,750 European ancestry controls	1p13.2	PTPN22	Affymetrix [7288503] (imputed)	31015401
rs2476601	chr1	Medication use (drugs used in diabetes)	7E-9	rs2476601	None	0.102882	15,272 European ancestry cases, 29,0641 European ancestry controls	1p13.2	PTPN22	Affymetrix [7288503] (imputed)	31015401
rs2476601	chr1	Rheumatoid arthritis	1E-12	rs2476601	None	0.084	868 European ancestry cases, 1,194 European ancestry controls	1p13.2	PTPN22	NR [509413]	30891314
rs2476601	chr1	White blood cell count	1E-47	rs2476601	None	None	approximately 444,000 European ancestry individuals	1p13.2		NR [~ 8900000] (imputed)	30595370
rs2476601	chr1	Hypothyroidism	2E-173	rs2476601	None	None	approximately 459,000 European ancestry individuals	1p13.2		NR [~ 8900000] (imputed)	30595370
rs2476601	chr1	Autoimmune traits	2E-103	rs2476601	None	None	approximately 459,000 European ancestry individuals	1p13.2		NR [~ 8900000] (imputed)	30595370
rs2476601	chr1	Systemic seropositive rheumatic diseases (Systemic sclerosis or systemic lupus erythematosus or rheumatoid arthritis or idiopathic inflammatory myopathies)	2E-28	rs2476601	None	None	up to 4,595 European ancestry rheumatoid arthritis cases, up to 3,154 European ancestry systemic lupus erythematosus cases, up to 2,281 European ancestry systemic sclerosis cases, up to 1,674 European ancestry idiopathic inflammatory myopathy cases, 19,704 European ancestry controls	1p13.2	PTPN22	Illumina [6450125] (imputed)	30573655
rs2476601	chr1	Type 1 diabetes	1E-91	rs2476601	None	0.096	6,670 European ancestry cases, 22,308 European ancestry controls	1p13.2	PTPN22	Illumina [252970]	30572963
rs2476601	chr1	Rheumatoid arthritis	4E-81	rs2476601	None	0.094	15,523 European ancestry cases, 22,308 European ancestry controls	1p13.2	PTPN22	Illumina [252970]	30572963
rs2476601	chr1	Autoimmune traits (pleiotropy)	6E-119	rs2476601	None	NA	11,489 European ancestry cases with celiac disease, 15,523 European ancestry cases with rheumatoid arthritis, 3,477 European ancestry cases with systemic sclerosis, 6,670 European ancestry cases with type 1 diabetes, 22,308 European ancestry controls	1p13.2	PTPN22	Illumina [252970]	30572963
rs2476601	chr1	Rheumatoid arthritis	2E-149	rs2476601	None	0.1	916 African American cases, 1,392 African American controls,	1p13.2	PTPN22	Illumina [8380626] (imputed)	30423114
rs2476601	chr1	Latent autoimmune diabetes vs. type 2 diabetes	5E-16	rs2476601	None	0.14	2,779 European ancestry latent autoimmune diabetes cases, 10,396 European ancestry type 2 diabetes cases	1p13.2	PTPN22	Affymetrix, Illumina [8328843] (imputed)	30254083
rs2476601	chr1	Hodgkin's lymphoma	4E-7	rs2476601	None	0.12	5,325 European ancestry cases, 22,425 European ancestry controls	1p13.2	PTPN22	Illumina [> 10000000] (imputed)	30194254
rs2476601	chr1	Systemic lupus erythematosus	1E-24	rs2476601	None	None	6,748 European ancestry cases, 11,516 European ancestry controls, 2,970 African American cases, 2,452 African American controls, 1,872 Hispanic cases, 2,016 Hispanic controls	1p13.2	PTPN22	Illumina [at least 5000000] (imputed)	28714469
rs2476601	chr1	IgM levels	2E-12	rs2476601	None	0.1338	14,442 Icelandic ancestry individuals	1p13.2	PTPN22	Illumina [21568490] (imputed)	28628107
rs2476601	chr1	White blood cell count	2E-21	rs2476601	None	0.8983	172,435 European ancestry individuals	1p13.2	PTPN22	Affymetrix [~ 2500000] (imputed)	27863252
rs2476601	chr1	Sum neutrophil eosinophil counts	5E-13	rs2476601	None	0.8984	170,384 European ancestry individuals	1p13.2	PTPN22	Affymetrix [~ 2500000] (imputed)	27863252
rs2476601	chr1	Sum basophil neutrophil counts	3E-13	rs2476601	None	0.8983	170,143 European ancestry individuals	1p13.2	PTPN22	Affymetrix [~ 2500000] (imputed)	27863252
rs2476601	chr1	Neutrophil count	4E-13	rs2476601	None	0.8983	170,702 European ancestry individuals	1p13.2	PTPN22	Affymetrix [~ 2500000] (imputed)	27863252
rs2476601	chr1	Myeloid white cell count	6E-13	rs2476601	None	0.8984	169,219 European ancestry individuals	1p13.2	PTPN22	Affymetrix [~ 2500000] (imputed)	27863252
rs2476601	chr1	Lymphocyte counts	2E-21	rs2476601	None	0.8983	171,643 European ancestry individuals	1p13.2	PTPN22	Affymetrix [~ 2500000] (imputed)	27863252
rs2476601	chr1	Granulocyte count	5E-13	rs2476601	None	0.8983	169,822 European ancestry individuals	1p13.2	PTPN22	Affymetrix [~ 2500000] (imputed)	27863252
rs2476601	chr1	Vitiligo	1E-18	rs2476601	None	0.09951	2,853 European ancestry cases and 37,405 European ancestry controls	1p13.2	PTPN22	Illumina [8966411] (imputed)	27723757
rs2476601	chr1	Systemic lupus erythematosus	8E-13	rs2476601	None	0.091	1,659 Chinese ancestry cases, 3,398 Chinese ancestry controls, 4,036 European ancestry cases, 6,959 European ancestry controls	1p13.2	PTPN22	NR [6344733] (imputed)	27399966
rs2476601	chr1	Systemic lupus erythematosus or rheumatoid arthritis	2E-35	rs2476601	None		2,237 European ancestry systemic lupus erythematosus cases, 3,911 European ancestry rheumatoid arthritis cases, 10,398 European ancestry controls	1p13.2	PTPN22	NR [at least 309839] (imputed)	27193031
rs2476601	chr1	Hypothyroidism	2E-31	rs2476601	None	None	17,558 European ancestry cases, 117,083 European ancestry controls	1p13.2	PTPN22	Illumina [13676411] (imputed)	27182965
rs2476601	chr1	Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)	3E-12	rs2476601	None	None	8,726 European ancestry ankylosing spondylitis cases, 19,085 European ancestry Crohn's disease cases, 6,530 European ancestry psoriasis cases, 3,408 European ancestry primary sclerosing cholangitis cases, 14,513 European ancestry ulcerative colitis cases, 34,213 European ancestry controls	1p13.2	PTPN22	Illumina [130052]	26974007
rs2476601	chr1	Late-onset myasthenia gravis	7E-6	rs2476601	None	0.11	532 European ancestry cases, 2,128 European ancestry controls	1p13.2	PTPN22	Illumina [6175472] (imputed)	26562150
rs2476601	chr1	Systemic lupus erythematosus	1E-28	rs2476601	None		5,201 European ancestry cases, 9,066 European ancestry controls	1p13.2	PTPN22	Illumina [644674]	26502338
rs2476601	chr1	Polymyositis	8E-11	rs2476601	None	0.09	931 European ancestry cases, 15,651 European ancestry controls	1p13.2	PTPN22	Illumina [90536]	26362759
rs2476601	chr1	Idiopathic inflammatory myopathy	7E-9	rs2476601	None	0.09	2,556 European ancestry cases, 15,651 European ancestry controls	1p13.2	PTPN22	Illumina [90536]	26362759
rs2476601	chr1	Crohn's disease	4E-17	rs2476601	None	None	5,956 European ancestry cases, 14,927 European ancestry controls	1p13.2	None	Affymetrix, Illumina [~ 9000000] (imputed)	26192919
rs2476601	chr1	Type 1 diabetes and autoimmune thyroid diseases	7E-20	rs2476601	None	None	346 European ancestry cases, 727 European ancestry controls	1p13.2	PHTF1, PTPN22	Illumina [514008]	25936594
rs2476601	chr1	Type 1 diabetes	1E-100	rs2476601	None	0.09	6,683 European ancestry cases, 12,173 European ancestry controls, 2,601 European ancestry affected sibling pair families, 69 European ancestry trios	1p13.2	PTPN22	Illumina [135870]	25751624
rs2476601	chr1	Alopecia areata	9E-8	rs2476601	None	None	2,332 European ancestry cases and 5,233 European ancestry controls	1p13.2	PTPN22	Illumina [1233578] (imputed)	25608926
rs2476601	chr1	Rheumatoid arthritis (ACPA-positive)	2E-126	rs2476601	None	0.11	2,234 Korean ancestry cases, 7,065 Korean ancestry controls, 10,288 European ancestry cases, 35,502 European ancestry controls	1p13.2	PTPN22	Illumina [133816] (imputed)	24532676
rs2476601	chr1	Rheumatoid arthritis	5E-33	rs2476601	None		3,034 European ancestry cases, 5,271 European ancestry controls	1p13.2	PTPN22	Affymetrix, Illumina [1831729] (imputed)	24449572
rs2476601	chr1	Rheumatoid arthritis	9E-170	rs2476601	None	0.09	up to 14,361 European ancestry cases, up to 42,923 European ancestry controls, up to 4,873 East Asian ancestry cases, up to 17,642 East Asian ancestry controls	1p13.2	PTPN22	Affymetrix, Illumina [up to 9739303] (imputed)	24390342
rs2476601	chr1	Rheumatoid arthritis (ACPA-positive)	8E-77	rs2476601	None	0.09	up to 9,585 European ancestry cases, up to 33,742 European ancestry controls	1p13.2	PTPN22, RSBN1	Illumina [129464] (imputed)	23143596
rs2476601	chr1	Rheumatoid arthritis	9E-62	rs2476601	None	0.09	up to 13,838 European ancestry cases, up to 33,742 European ancestry controls	1p13.2	PTPN22, RSBN1	Illumina [129464] (imputed)	23143596
rs2476601	chr1	Myasthenia gravis	8E-10	rs2476601	None	0.11	400 European ancestry cases, 5,505 European ancestry controls	1p13.2	PTPN22	Illumina [274256]	23055271
rs2476601	chr1	Hashimoto thyroiditis	4E-15	rs2476601	None	0.0962	462 European ancestry cases, 9,364 European ancestry controls	1p13.2	PTPN22	Illumina [103875]	22922229
rs2476601	chr1	Graves' disease	4E-16	rs2476601	None	0.0962	2,285 European ancestry cases, 9,364 European ancestry controls	1p13.2	PTPN22	Illumina [103875]	22922229
rs2476601	chr1	Autoimmune thyroid diseases (Graves disease or Hashimoto's thyroiditis)	1E-22	rs2476601	None	0.0962	2,282 European ancestry Graves disease cases, 451 European ancestry Hashimoto's thyroiditis cases, 9364 European ancestry controls	1p13.2	PTPN22	Illumina [103875]	22922229
rs2476601	chr1	Type 1 diabetes	2E-111	rs2476601	None	None	8,506 European ancestry cases, up to 10,596 European ancestry controls	1p13.2	PTPN22	Affymetrix, Illumina [NR]	21829393
rs2476601	chr1	Rheumatoid arthritis	1E-8	rs2476601	None	None	1,147 European ancestry ACPA positive RA cases, 774 European ancestry ACPA negative RA cases, 1,079 European ancestry controls	1p13.2	PTPN22	Illumina [1723056] (imputed)	21156761
rs2476601	chr1	Crohn's disease	4E-9	rs2476601	None	0.907	6,333 European ancestry cases, 15,056 European ancestry controls	1p13.2	PTPN22	Affymetrix, Illumina [953241] (imputed)	21102463
rs2476601	chr1	Rheumatoid arthritis	9E-74	rs2476601	None	0.10	5,539 European ancestry cases, 20,169 European ancestry controls	1p13.2	PTPN22	Affymetrix, Illumina [~ 2716259] (imputed)	20453842
rs2476601	chr1	Vitiligo	1E-7	rs2476601	None	0.095	1,392 European ancestry cases, 2,629 European ancestry controls	1p13.2	PTPN22	Illumina [520460]	20410501
rs2476601	chr1	Systemic lupus erythematosus	3E-12	rs2476601	None	0.1	1,310 European ancestry cases, 7,859 European ancestry controls	1p13.2	PTPN22	Illumina [~ 2100000] (imputed)	19838195
rs2476601	chr1	Rheumatoid arthritis	2E-21	rs2476601	None	None	2,418 European ancestry cases, 4,504 European ancestry controls	1p13.2	PTPN22	Illumina [278502]	19503088
rs2476601	chr1	Type 1 diabetes	9E-85	rs2476601	None	None	7,514 European ancestry cases, 9,045 European ancestry controls	1p13.2	PTPN22	Affymetrix, Illumina [841622] (imputed)	19430480
rs2476601	chr1	Crohn's disease	1E-8	rs2476601	None	0.90	3,230 European ancestry cases, 4,829 European ancestry controls	1p13.2	PTPN22	Affymetrix, Illumina [635547] (imputed)	18587394
rs2476601	chr1	Rheumatoid arthritis	2E-11	rs2476601	None	0.10	1,522 European ancestry cases, 1,850 European ancestry controls	1p13.2	PTPN22	Illumina [297086]	17804836
rs2476601	chr1	Type 1 diabetes	1E-7	rs2476601	None	0.09	467 European ancestry trios, 561 European ancestry cases, 1,143 European ancestry controls	1p13.2	PTPN22	Illumina [543071]	17632545
rs2476601	chr1	Type 1 diabetes	2E-80	rs2476601	None	0.09	2,000 European ancestry cases, 3,000 European ancestry controls	1p13.2	PTPN22	Affymetrix [NR]	17554260
rs2358994	chr1	Type 1 diabetes and autoimmune thyroid diseases	2E-11	rs2358994	None	None	346 European ancestry cases, 727 European ancestry controls	1p13.2	BCL2L15	Illumina [514008]	25936594
rs2641348	chr1	GIP levels in response to oral glucose tolerance test (120 minutes)	9E-6	rs2641348	None	0.123	3,344 Swedish ancestry individuals	1p12	ADAM30	Illumina [at least 81396]	29093273
rs2641348	chr1	Inflammatory bowel disease	4E-6	rs2641348	None	0.89	12,882 European ancestry cases, 21,770 European ancestry controls	1p12	None	Affymetrix, Illumina [~ 9000000] (imputed)	26192919
rs2641348	chr1	Crohn's disease	1E-9	rs2641348	None	0.89	5,956 European ancestry cases, 14,927 European ancestry controls	1p12	None	Affymetrix, Illumina [~ 9000000] (imputed)	26192919
rs2229238	chr1	Coronary heart disease	7E-7	rs2229238	None	None	7,123 European ancestry cases, 6,826 European ancestry controls	1q21.3	ILR6	Affymetrix [~ 5000000] (imputed)	22319020
rs7528684	chr1	Blood protein levels	1E-112	rs7528684	None	0.465	3,301 European ancestry individuals	1q23.1	FCRL3	Affymetrix [10572788] (imputed)	29875488
rs7528684	chr1	Insulinoma-associated antigen 2 autoantibody levels in type 1 diabetes	8E-9	rs7528684	None	None	2,498 European ancestry cases	1q23.1	FCRL3	Affymetrix, Illumina [NR]	21829393
rs10919543	chr1	Blood protein levels	3E-67	rs10919543	rs10919543-G	0.324	3,301 European ancestry individuals	1q23.3	FCGR3B	Affymetrix [10572788] (imputed)	29875488
rs10919543	chr1	Takayasu arteritis	6E-12	rs10919543	rs10919543-G	0.413	305 Turkish ancestry cases, 106 European ancestry cases, 483 Turkish ancestry controls, 553 European ancestry controls	1q23.3	FCGR2A, FCGR3A	Illumina [at least 124312]	23830517
rs78037977	chr1	Asthma (childhood onset)	1E-9	rs78037977	rs78037977-?	None	13,435 European ancestry cases, 393,186 European ancestry controls	1q24.3	None	Affymetrix [~ 8270000] (imputed)	31669095
rs78037977	chr1	Asthma onset (childhood vs adult)	5E-6	rs78037977	rs78037977-A	0.879	13,962 European ancestry childhood onset cases, 14,873 European ancestry adult onset cases	1q24.3	FASLG, TNFSF18	Affymetrix [9000000] (imputed)	30929738
rs78037977	chr1	Asthma (childhood onset)	6E-13	rs78037977	rs78037977-?	None	13,962 European ancestry cases, 300,671 European ancestry controls	1q24.3	FASLG, TNFSF18	Affymetrix [9000000] (imputed)	30929738
rs78037977	chr1	Allergic sensitization	9E-10	rs78037977	rs78037977-A	0.87	8,040 European ancestry cases, 16,441 European ancestry controls	1q24.3	FASLG	Affymetrix, Illumina [16531985] (imputed)	30013184
rs78037977	chr1	Mosquito bite size	1E-6	rs78037977	rs78037977-G	None	84,724 European ancestry individuals	1q24.3	Intergenic	Illumina [13520550] (imputed)	28199695
rs78037977	chr1	Itch intensity from mosquito bite	4E-8	rs78037977	rs78037977-G	0.123	84,724 European ancestry individuals	1q24.3	FASLG, TNFSF18	Illumina [13520550] (imputed)	28199695
rs78037977	chr1	Vitiligo	7E-17	rs78037977	rs78037977-G	0.1316	2,853 European ancestry cases and 37,405 European ancestry controls	1q24.3	FASLG	Illumina [8966411] (imputed)	27723757
rs34884278	chr1	Pediatric autoimmune diseases	4E-7	rs34884278	None	0.3	97 European ancestry thyroiditis cases, 107 European ancestry ankylosing spondylitis cases, 100 European ancestry psoriasis cases, 173 European ancestry celiac disease cases, 254 European ancestry systemic lupus erythematosus cases, 308 European ancestry common variable inmunodeficiency cases, 865 European ancestry ulcerative colitis cases, 1,086 European ancestry Type 1 diabetes cases, 1,123  European ancestry juvenile idiopathic arthritis cases, 1,922  European ancestry Crohn's disease cases, 10,718 European ancestry controls	1q24.3	TNFSF18	Illumina [7347414] (imputed)	26301688
rs2990510	chr1	Erectile dysfunction in type 1 diabetes	6E-6	rs2990510	rs2990510-G	0.305	125 European ancestry cases, 403 European ancestry controls	1q31.3	F13B	Illumina [840354]	22704111
rs6689858	chr1	Pediatric autoimmune diseases	2E-7	rs6689858	rs6689858-C	0.29	97 European ancestry thyroiditis cases, 107 European ancestry ankylosing spondylitis cases, 100 European ancestry psoriasis cases, 173 European ancestry celiac disease cases, 254 European ancestry systemic lupus erythematosus cases, 308 European ancestry common variable inmunodeficiency cases, 865 European ancestry ulcerative colitis cases, 1,086 European ancestry Type 1 diabetes cases, 1,123  European ancestry juvenile idiopathic arthritis cases, 1,922  European ancestry Crohn's disease cases, 10,718 European ancestry controls	1q31.3	CRB1	Illumina [7347414] (imputed)	26301688
rs6691977	chr1	Type 1 diabetes	4E-8	rs6691977	rs6691977-C	0.19	6,683 European ancestry cases, 12,173 European ancestry controls, 2,601 European ancestry affected sibling pair families, 69 European ancestry trios	1q32.1	IL10	Illumina [135870]	25751624
rs138760780	chr1	Coronary artery disease in type 1 diabetes	9E-6	rs138760780	None	0.018	434 European ancestry cases with coronary artery disease, 3,123 European ancestry cases without coronary artery disease	1q32.1	CDK18	Illumina [6728637] (imputed)	29695241
rs138760780	chr1	Coronary artery disease in type 1 diabetes	2E-6	rs138760780	None	0.018	434 European ancestry cases with coronary artery disease, 3,123 European ancestry cases without coronary artery disease	1q32.1	CDK18	Illumina [6728637] (imputed)	29695241
rs55705316	chr1	Pediatric autoimmune diseases	1E-6	rs55705316	rs55705316-G	0.14	97 European ancestry thyroiditis cases, 107 European ancestry ankylosing spondylitis cases, 100 European ancestry psoriasis cases, 173 European ancestry celiac disease cases, 254 European ancestry systemic lupus erythematosus cases, 308 European ancestry common variable inmunodeficiency cases, 865 European ancestry ulcerative colitis cases, 1,086 European ancestry Type 1 diabetes cases, 1,123  European ancestry juvenile idiopathic arthritis cases, 1,922  European ancestry Crohn's disease cases, 10,718 European ancestry controls	1q32.1	IL10	Illumina [7347414] (imputed)	26301688
rs3024505	chr1	Ulcerative colitis	2E-23	rs3024505	None		12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls	1q32.1	IL10	Illumina [9578670] (imputed)	28067908
rs3024505	chr1	Inflammatory bowel disease	6E-31	rs3024505	None		25,042 European and unknown ancestry cases, 34,915 European and unknown ancestry controls	1q32.1	IL10	Illumina [9725440] (imputed)	28067908
rs3024505	chr1	Crohn's disease	3E-14	rs3024505	None		12,194 European and unknown ancestry cases, 28,072 European and unknown ancestry controls	1q32.1	IL10	Illumina [9560910] (imputed)	28067908
