DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
09/03/2012	22293688	Huang J	2012-02-01	Eur J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/22293688	1000 Genomes-based imputation identifies novel and refined associations for the Wellcome Trust Case Control Consortium phase 1 Data.	Type 1 diabetes	"16,179 European ancestry individuals"	NA	10p15.1	10	6052734	IL2RA	IL2RA			ENSG00000134460			rs61839660-?	rs61839660	0	61839660	intron_variant	0	NR	5.00E-09	8.301029996		1.6	[1.44-1.76]	NR [6233112] (imputed)	N	type 1 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005147	GCST001394	Genome-wide genotyping array
09/03/2012	22293688	Huang J	2012-02-01	Eur J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/22293688	1000 Genomes-based imputation identifies novel and refined associations for the Wellcome Trust Case Control Consortium phase 1 Data.	Type 1 diabetes	"16,179 European ancestry individuals"	NA	12q24.11	12	111270654	CUX2	CUX2			ENSG00000111249			rs1265564-?	rs1265564	0	1265564	non_coding_transcript_exon_variant	0	NR	1.00E-16	16		1.45	[1.28-1.67]	NR [6233112] (imputed)	N	type 1 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005147	GCST001394	Genome-wide genotyping array
23/03/2022	35047121	Gao Y	2021-12-01	World J Diabetes	www.ncbi.nlm.nih.gov/pubmed/35047121	Genome-wide association study reveals novel loci for adult type 1 diabetes in a 5-year nested case-control study.	Type 1 diabetes	"381 Chinese ancestry cases, 377 Chinese ancestry controls"	"404 Chinese ancestry cases, 427 Chinese ancestry controls"	14q21.3	14	49843683		NEMF			ENSG00000165525			rs55846421-?	rs55846421	0	55846421	intron_variant	0	NR	2.00E-09	8.698970004		0.113	[0.081-0.156]	NR [920636] (imputed)	N	type 1 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005147	GCST90095483	Genome-wide genotyping array
23/04/2021	33830302	Inshaw JRJ	2021-04-08	Diabetologia	www.ncbi.nlm.nih.gov/pubmed/33830302	Analysis of overlapping genetic association in type 1 and type 2 diabetes.	Type 1 diabetes	"7,467 European ancestry cases, 10,218 European ancestry controls"	NA	7p12.1	7	50955790	COBL/LOC100129427/GRB10	NA - COBL		ENSG00000106078			60422	rs4263714-A	rs4263714	0	4263714	intron_variant	1		4.00E-06	5.397940009		0.20912386	[0.12-0.3] unit increase	"Affymetrix, Illumina [7769284] (imputed)"	N	type 1 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005147	GCST90000529	Genome-wide genotyping array
23/04/2021	33830302	Inshaw JRJ	2021-04-08	Diabetologia	www.ncbi.nlm.nih.gov/pubmed/33830302	Analysis of overlapping genetic association in type 1 and type 2 diabetes.	Type 1 diabetes	"7,467 European ancestry cases, 10,218 European ancestry controls"	NA	11p15.5	11	2176056	INS	MIR4686 - ASCL2	ENSG00000265258	ENSG00000183734		2918	92442	rs4929965-G	rs4929965	0	4929965	upstream_gene_variant	1		2.00E-31	30.69897		0.36365113	[0.3-0.42] unit increase	"Affymetrix, Illumina [7769284] (imputed)"	N	type 1 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005147	GCST90000529	Genome-wide genotyping array
23/04/2021	33830302	Inshaw JRJ	2021-04-08	Diabetologia	www.ncbi.nlm.nih.gov/pubmed/33830302	Analysis of overlapping genetic association in type 1 and type 2 diabetes.	Type 1 diabetes	"7,467 European ancestry cases, 10,218 European ancestry controls"	NA	16q23.1	16	75200974	CTRB1/BCAR1	ZFP1 - CTRB2	ENSG00000285178	ENSG00000284810		28738	3129	rs72802342-A	rs72802342	0	72802342	downstream_gene_variant	1		6.00E-10	9.22184875		0.2877386	[0.2-0.38] unit increase	"Affymetrix, Illumina [7769284] (imputed)"	N	type 1 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005147	GCST90000529	Genome-wide genotyping array
23/04/2021	33830302	Inshaw JRJ	2021-04-08	Diabetologia	www.ncbi.nlm.nih.gov/pubmed/33830302	Analysis of overlapping genetic association in type 1 and type 2 diabetes.	Type 1 diabetes	"7,467 European ancestry cases, 10,218 European ancestry controls"	NA	11p15.5	11	2143569	INS	"IGF2-AS, INS-IGF2"			"ENSG00000099869, ENSG00000129965"			rs4366464-C	rs4366464	0	4366464	intron_variant	0		1.00E-09	9		0.403326	[0.27-0.53] unit increase	"Affymetrix, Illumina [7769284] (imputed)"	N	type 1 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005147	GCST90000529	Genome-wide genotyping array
23/04/2021	33830302	Inshaw JRJ	2021-04-08	Diabetologia	www.ncbi.nlm.nih.gov/pubmed/33830302	Analysis of overlapping genetic association in type 1 and type 2 diabetes.	Type 1 diabetes	"7,467 European ancestry cases, 10,218 European ancestry controls"	NA	11p15.5	11	2055620	INS	H19 - IGF2	ENSG00000130600	ENSG00000167244		54150	73492	rs78896587-T	rs78896587	0	78896587	intergenic_variant	1		1.00E-09	9		0.20937194	[0.14-0.28] unit decrease	"Affymetrix, Illumina [7769284] (imputed)"	N	type 1 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005147	GCST90000529	Genome-wide genotyping array
23/04/2021	33830302	Inshaw JRJ	2021-04-08	Diabetologia	www.ncbi.nlm.nih.gov/pubmed/33830302	Analysis of overlapping genetic association in type 1 and type 2 diabetes.	Type 1 diabetes	"7,467 European ancestry cases, 10,218 European ancestry controls"	NA	9p24.2	9	4291928	GLIS3	GLIS3			ENSG00000107249			rs10974438-C	rs10974438	0	10974438	intron_variant	0		1.00E-06	6		0.12805976	[0.076-0.18] unit increase	"Affymetrix, Illumina [7769284] (imputed)"	N	type 1 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005147	GCST90000529	Genome-wide genotyping array
23/04/2021	33830302	Inshaw JRJ	2021-04-08	Diabetologia	www.ncbi.nlm.nih.gov/pubmed/33830302	Analysis of overlapping genetic association in type 1 and type 2 diabetes.	Type 1 diabetes	"7,467 European ancestry cases, 10,218 European ancestry controls"	NA	1p31.3	1	63641613	PGM1	PGM1			ENSG00000079739			rs2269247-T	rs2269247	0	2269247	intron_variant	0		2.00E-06	5.698970004		0.13817546	[0.081-0.195] unit increase	"Affymetrix, Illumina [7769284] (imputed)"	N	type 1 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005147	GCST90000529	Genome-wide genotyping array
23/04/2021	33830302	Inshaw JRJ	2021-04-08	Diabetologia	www.ncbi.nlm.nih.gov/pubmed/33830302	Analysis of overlapping genetic association in type 1 and type 2 diabetes.	Type 1 diabetes	"7,467 European ancestry cases, 10,218 European ancestry controls"	NA	4p16.3	4	1782676	TMEM129	TACC3 - FGFR3	ENSG00000013810	ENSG00000068078		37505	10617	rs56337234-T	rs56337234	0	56337234	regulatory_region_variant	1		4.00E-06	5.397940009		0.1142075	[0.066-0.163] unit increase	"Affymetrix, Illumina [7769284] (imputed)"	N	type 1 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005147	GCST90000529	Genome-wide genotyping array
26/10/2011	21980299	Bradfield JP	2011-09-29	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/21980299	A genome-wide meta-analysis of six type 1 diabetes cohorts identifies multiple associated loci.	Type 1 diabetes	"9,934 European ancestry cases, 16,956 European ancestry controls"	"1,120 European ancestry affected trios"	2p23.3	2	25078886	"EFR3B, 3NCOA1, C2orf79, CENPO, ADCY3, DNAJC27, POMC, DNMT3A"	EFR3B			ENSG00000084710			rs478222-?	rs478222	0	478222	intron_variant	0	0.59	4.00E-09	8.397940009		1.22	[NR]	"Affymetrix, Illumina [~ 2540000] (imputed)"	N	type 1 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005147	GCST001255	Genome-wide genotyping array
26/10/2011	21980299	Bradfield JP	2011-09-29	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/21980299	A genome-wide meta-analysis of six type 1 diabetes cohorts identifies multiple associated loci.	Type 1 diabetes	"9,934 European ancestry cases, 16,956 European ancestry controls"	"1,120 European ancestry affected trios"	13q22.2	13	75752146	LMO7	LMO7			ENSG00000136153			rs539514-?	rs539514	0	539514	intron_variant	0	0.5	6.00E-11	10.22184875		1.43	[NR]	"Affymetrix, Illumina [~ 2540000] (imputed)"	N	type 1 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005147	GCST001255	Genome-wide genotyping array
26/10/2011	21980299	Bradfield JP	2011-09-29	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/21980299	A genome-wide meta-analysis of six type 1 diabetes cohorts identifies multiple associated loci.	Type 1 diabetes	"9,934 European ancestry cases, 16,956 European ancestry controls"	"1,120 European ancestry affected trios"	6q27	6	170063801	"WDR27, C6orf120, PHF10, TCTE3, C6orf208, LOC154449, DLL1, FAM120B, PSMB1, TBP, PCD2"							rs924043-?	rs924043	0	924043	regulatory_region_variant	1	0.85	8.00E-09	8.096910013		1.35	[NR]	"Affymetrix, Illumina [~ 2540000] (imputed)"	N	type 1 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005147	GCST001255	Genome-wide genotyping array
26/10/2011	21980299	Bradfield JP	2011-09-29	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/21980299	A genome-wide meta-analysis of six type 1 diabetes cohorts identifies multiple associated loci.	Type 1 diabetes	"9,934 European ancestry cases, 16,956 European ancestry controls"	"1,120 European ancestry affected trios"	7p15.1	7	28189423	LOC100128081	JAZF1-AS1			ENSG00000234336			rs550448-?	rs550448	0	550448	intron_variant	0	0.86	5.00E-07	6.301029996		1.32	[NR]	"Affymetrix, Illumina [~ 2540000] (imputed)"	N	type 1 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005147	GCST001255	Genome-wide genotyping array
26/10/2011	21980299	Bradfield JP	2011-09-29	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/21980299	A genome-wide meta-analysis of six type 1 diabetes cohorts identifies multiple associated loci.	Type 1 diabetes	"9,934 European ancestry cases, 16,956 European ancestry controls"	"1,120 European ancestry affected trios"	8q24.12	8	118965098	TNFRSF11B	TNFRSF11B - RNU6-12P	ENSG00000164761	ENSG00000207334		13213	11415	rs12679857-?	rs12679857	0	12679857	intergenic_variant	1	0.69	4.00E-07	6.397940009		1.2	[NR]	"Affymetrix, Illumina [~ 2540000] (imputed)"	N	type 1 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005147	GCST001255	Genome-wide genotyping array
26/10/2011	21980299	Bradfield JP	2011-09-29	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/21980299	A genome-wide meta-analysis of six type 1 diabetes cohorts identifies multiple associated loci.	Type 1 diabetes	"9,934 European ancestry cases, 16,956 European ancestry controls"	"1,120 European ancestry affected trios"	2p23.2	2	28423934	FOSL2	FOSL2 - PLB1	ENSG00000075426	ENSG00000163803		6617	33211	rs6547853-?	rs6547853	0	6547853	regulatory_region_variant	1	0.6	8.00E-07	6.096910013		1.19	[NR]	"Affymetrix, Illumina [~ 2540000] (imputed)"	N	type 1 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005147	GCST001255	Genome-wide genotyping array
26/10/2011	21980299	Bradfield JP	2011-09-29	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/21980299	A genome-wide meta-analysis of six type 1 diabetes cohorts identifies multiple associated loci.	Type 1 diabetes	"9,934 European ancestry cases, 16,956 European ancestry controls"	"1,120 European ancestry affected trios"	11q13.3	11	69781755	NR	FGF4 - FGF3	ENSG00000075388	ENSG00000186895		6414	28213	rs4084127-?	rs4084127	0	4084127	intergenic_variant	1	NR	3.00E-06	5.522878745		1.11	[NR]	"Affymetrix, Illumina [~ 2540000] (imputed)"	N	type 1 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005147	GCST001255	Genome-wide genotyping array
26/10/2011	21980299	Bradfield JP	2011-09-29	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/21980299	A genome-wide meta-analysis of six type 1 diabetes cohorts identifies multiple associated loci.	Type 1 diabetes	"9,934 European ancestry cases, 16,956 European ancestry controls"	"1,120 European ancestry affected trios"	10q24.2	10	98540425	NR	HPSE2			ENSG00000172987			rs10786436-T	rs10786436	0	10786436	intron_variant	0	NR	8.00E-07	6.096910013		1.1	[NR]	"Affymetrix, Illumina [~ 2540000] (imputed)"	N	type 1 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005147	GCST001255	Genome-wide genotyping array
26/10/2011	21980299	Bradfield JP	2011-09-29	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/21980299	A genome-wide meta-analysis of six type 1 diabetes cohorts identifies multiple associated loci.	Type 1 diabetes	"9,934 European ancestry cases, 16,956 European ancestry controls"	"1,120 European ancestry affected trios"	14q11.2	14	23370824	NR	EFS - IL25	ENSG00000100842	ENSG00000166090		5072	1985	rs10137082-?	rs10137082	0	10137082	intergenic_variant	1	NR	6.00E-06	5.22184875		1.1	[NR]	"Affymetrix, Illumina [~ 2540000] (imputed)"	N	type 1 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005147	GCST001255	Genome-wide genotyping array
04/02/2016	25936594	Tomer Y	2015-04-27	J Autoimmun	www.ncbi.nlm.nih.gov/pubmed/25936594	Genome wide identification of new genes and pathways in patients with both autoimmune thyroiditis and type 1 diabetes.	Type 1 diabetes and autoimmune thyroid diseases	"346 European ancestry cases, 727 European ancestry controls"	"185 European ancestry cases, 340 European ancestry controls"	1p13.2	1	113537449	MAGI3	MAGI3			ENSG00000081026			rs2153977-T	rs2153977	0	2153977	intron_variant	0	NR	4.00E-07	6.397940009		1.491		Illumina [514008]	N	"autoimmune thyroid disease, type 1 diabetes mellitus"	"http://www.ebi.ac.uk/efo/EFO_0006812, http://purl.obolibrary.org/obo/MONDO_0005147"	GCST002876	Genome-wide genotyping array
04/02/2016	25936594	Tomer Y	2015-04-27	J Autoimmun	www.ncbi.nlm.nih.gov/pubmed/25936594	Genome wide identification of new genes and pathways in patients with both autoimmune thyroiditis and type 1 diabetes.	Type 1 diabetes and autoimmune thyroid diseases	"346 European ancestry cases, 727 European ancestry controls"	"185 European ancestry cases, 340 European ancestry controls"	1p13.2	1	113834946	"PHTF1, PTPN22"	PTPN22			ENSG00000134242			rs2476601-A	rs2476601	0	2476601	missense_variant	0	NR	7.00E-20	19.15490196		2.7073		Illumina [514008]	N	"autoimmune thyroid disease, type 1 diabetes mellitus"	"http://www.ebi.ac.uk/efo/EFO_0006812, http://purl.obolibrary.org/obo/MONDO_0005147"	GCST002876	Genome-wide genotyping array
04/02/2016	25936594	Tomer Y	2015-04-27	J Autoimmun	www.ncbi.nlm.nih.gov/pubmed/25936594	Genome wide identification of new genes and pathways in patients with both autoimmune thyroiditis and type 1 diabetes.	Type 1 diabetes and autoimmune thyroid diseases	"346 European ancestry cases, 727 European ancestry controls"	"185 European ancestry cases, 340 European ancestry controls"	1p13.2	1	113886839	BCL2L15	"AP4B1-AS1, BCL2L15"			"ENSG00000226167, ENSG00000188761"			rs2358994-A	rs2358994	0	2358994	intron_variant	0	NR	2.00E-11	10.69897		1.8688		Illumina [514008]	N	"autoimmune thyroid disease, type 1 diabetes mellitus"	"http://www.ebi.ac.uk/efo/EFO_0006812, http://purl.obolibrary.org/obo/MONDO_0005147"	GCST002876	Genome-wide genotyping array
04/02/2016	25936594	Tomer Y	2015-04-27	J Autoimmun	www.ncbi.nlm.nih.gov/pubmed/25936594	Genome wide identification of new genes and pathways in patients with both autoimmune thyroiditis and type 1 diabetes.	Type 1 diabetes and autoimmune thyroid diseases	"346 European ancestry cases, 727 European ancestry controls"	"185 European ancestry cases, 340 European ancestry controls"	4q27	4	121392885	GPR103	QRFPR - TUBB4BP5	ENSG00000186867	ENSG00000224062		11826	58656	rs7679475-A	rs7679475	0	7679475	intergenic_variant	1	NR	4.00E-10	9.397940009		1.6198		Illumina [514008]	N	"autoimmune thyroid disease, type 1 diabetes mellitus"	"http://www.ebi.ac.uk/efo/EFO_0006812, http://purl.obolibrary.org/obo/MONDO_0005147"	GCST002876	Genome-wide genotyping array
26/11/2008	18978792	Cooper JD	2008-11-02	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/18978792	Meta-analysis of genome-wide association study data identifies additional type 1 diabetes risk loci.	Type 1 diabetes	"3,561 European ancestry cases, 4,646 European ancestry controls"	"6,225 European ancestry cases, 6,946 European ancestry controls, 3,064 European ancestry trios from 2,828 families"	6q15	6	90248512	BACH2	BACH2			ENSG00000112182			rs11755527-G	rs11755527	0	11755527	intron_variant	0	0.47	5.00E-12	11.30103		1.13	[1.08-1.19]	Affymetrix [up to 335565]	N	type 1 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005147	GCST000258	Genome-wide genotyping array
26/11/2008	18978792	Cooper JD	2008-11-02	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/18978792	Meta-analysis of genome-wide association study data identifies additional type 1 diabetes risk loci.	Type 1 diabetes	"3,561 European ancestry cases, 4,646 European ancestry controls"	"6,225 European ancestry cases, 6,946 European ancestry controls, 3,064 European ancestry trios from 2,828 families"	10p15.1	10	6348488	PRKCQ	LINC02649			ENSG00000215244			rs947474-G	rs947474	0	947474	intron_variant	0	0.19	4.00E-09	8.397940009		1.1	[1.03-1.18]	Affymetrix [up to 335565]	N	type 1 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005147	GCST000258	Genome-wide genotyping array
26/11/2008	18978792	Cooper JD	2008-11-02	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/18978792	Meta-analysis of genome-wide association study data identifies additional type 1 diabetes risk loci.	Type 1 diabetes	"3,561 European ancestry cases, 4,646 European ancestry controls"	"6,225 European ancestry cases, 6,946 European ancestry controls, 3,064 European ancestry trios from 2,828 families"	15q25.1	15	78943104	CTSH	CTSH			ENSG00000103811			rs3825932-T	rs3825932	0	3825932	intron_variant	0	0.68	3.00E-15	14.52287875		1.16	[1.10-1.22]	Affymetrix [up to 335565]	N	type 1 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005147	GCST000258	Genome-wide genotyping array
