Pathway ID	Description	Parent(s)	p-Value	Genes Involved	Variation IDs
R-HSA-1280215	Cytokine Signaling in Immune system	Immune System	0.000001	ERBB3,ERBB4,GATA3,HLA-A,HLA-B,HLA-DQA1,HLA-DQB1,HLA-DRA,IL23R,IL2RA,IL2RB,IL6R,IL7R,IRF4,MAPK14,NUP210,PSMB2,PTPN13,PTPN2,RASGRP1,SMAD3,STAT4,TNF,TNFSF15,TRIM31,TYK2	rs2523989
R-HSA-1280215	Cytokine Signaling in Immune system	Immune System	0.000001	ERBB3,ERBB4,GATA3,HLA-A,HLA-B,HLA-DQA1,HLA-DQB1,HLA-DRA,IL23R,IL2RA,IL2RB,IL6R,IL7R,IRF4,MAPK14,NUP210,PSMB2,PTPN13,PTPN2,RASGRP1,SMAD3,STAT4,TNF,TNFSF15,TRIM31,TYK2	rs3093664
R-HSA-1280215	Cytokine Signaling in Immune system	Immune System	0.000001	ERBB3,ERBB4,GATA3,HLA-A,HLA-B,HLA-DQA1,HLA-DQB1,HLA-DRA,IL23R,IL2RA,IL2RB,IL6R,IL7R,IRF4,MAPK14,NUP210,PSMB2,PTPN13,PTPN2,RASGRP1,SMAD3,STAT4,TNF,TNFSF15,TRIM31,TYK2	rs34536443
R-HSA-1280215	Cytokine Signaling in Immune system	Immune System	0.000001	ERBB3,ERBB4,GATA3,HLA-A,HLA-B,HLA-DQA1,HLA-DQB1,HLA-DRA,IL23R,IL2RA,IL2RB,IL6R,IL7R,IRF4,MAPK14,NUP210,PSMB2,PTPN13,PTPN2,RASGRP1,SMAD3,STAT4,TNF,TNFSF15,TRIM31,TYK2	rs3802604
R-HSA-1280215	Cytokine Signaling in Immune system	Immune System	0.000001	ERBB3,ERBB4,GATA3,HLA-A,HLA-B,HLA-DQA1,HLA-DQB1,HLA-DRA,IL23R,IL2RA,IL2RB,IL6R,IL7R,IRF4,MAPK14,NUP210,PSMB2,PTPN13,PTPN2,RASGRP1,SMAD3,STAT4,TNF,TNFSF15,TRIM31,TYK2	rs4246905
R-HSA-1280215	Cytokine Signaling in Immune system	Immune System	0.000001	ERBB3,ERBB4,GATA3,HLA-A,HLA-B,HLA-DQA1,HLA-DQB1,HLA-DRA,IL23R,IL2RA,IL2RB,IL6R,IL7R,IRF4,MAPK14,NUP210,PSMB2,PTPN13,PTPN2,RASGRP1,SMAD3,STAT4,TNF,TNFSF15,TRIM31,TYK2	rs537544
R-HSA-1280215	Cytokine Signaling in Immune system	Immune System	0.000001	ERBB3,ERBB4,GATA3,HLA-A,HLA-B,HLA-DQA1,HLA-DQB1,HLA-DRA,IL23R,IL2RA,IL2RB,IL6R,IL7R,IRF4,MAPK14,NUP210,PSMB2,PTPN13,PTPN2,RASGRP1,SMAD3,STAT4,TNF,TNFSF15,TRIM31,TYK2	rs574384
R-HSA-1280215	Cytokine Signaling in Immune system	Immune System	0.000001	ERBB3,ERBB4,GATA3,HLA-A,HLA-B,HLA-DQA1,HLA-DQB1,HLA-DRA,IL23R,IL2RA,IL2RB,IL6R,IL7R,IRF4,MAPK14,NUP210,PSMB2,PTPN13,PTPN2,RASGRP1,SMAD3,STAT4,TNF,TNFSF15,TRIM31,TYK2	rs61277444
R-HSA-1280215	Cytokine Signaling in Immune system	Immune System	0.000001	ERBB3,ERBB4,GATA3,HLA-A,HLA-B,HLA-DQA1,HLA-DQB1,HLA-DRA,IL23R,IL2RA,IL2RB,IL6R,IL7R,IRF4,MAPK14,NUP210,PSMB2,PTPN13,PTPN2,RASGRP1,SMAD3,STAT4,TNF,TNFSF15,TRIM31,TYK2	rs61839660
R-HSA-1280215	Cytokine Signaling in Immune system	Immune System	0.000001	ERBB3,ERBB4,GATA3,HLA-A,HLA-B,HLA-DQA1,HLA-DQB1,HLA-DRA,IL23R,IL2RA,IL2RB,IL6R,IL7R,IRF4,MAPK14,NUP210,PSMB2,PTPN13,PTPN2,RASGRP1,SMAD3,STAT4,TNF,TNFSF15,TRIM31,TYK2	rs6897932
R-HSA-1280215	Cytokine Signaling in Immune system	Immune System	0.000001	ERBB3,ERBB4,GATA3,HLA-A,HLA-B,HLA-DQA1,HLA-DQB1,HLA-DRA,IL23R,IL2RA,IL2RB,IL6R,IL7R,IRF4,MAPK14,NUP210,PSMB2,PTPN13,PTPN2,RASGRP1,SMAD3,STAT4,TNF,TNFSF15,TRIM31,TYK2	rs706778
R-HSA-1280215	Cytokine Signaling in Immune system	Immune System	0.000001	ERBB3,ERBB4,GATA3,HLA-A,HLA-B,HLA-DQA1,HLA-DQB1,HLA-DRA,IL23R,IL2RA,IL2RB,IL6R,IL7R,IRF4,MAPK14,NUP210,PSMB2,PTPN13,PTPN2,RASGRP1,SMAD3,STAT4,TNF,TNFSF15,TRIM31,TYK2	rs706779
R-HSA-1280215	Cytokine Signaling in Immune system	Immune System	0.000001	ERBB3,ERBB4,GATA3,HLA-A,HLA-B,HLA-DQA1,HLA-DQB1,HLA-DRA,IL23R,IL2RA,IL2RB,IL6R,IL7R,IRF4,MAPK14,NUP210,PSMB2,PTPN13,PTPN2,RASGRP1,SMAD3,STAT4,TNF,TNFSF15,TRIM31,TYK2	rs72727394
R-HSA-1280215	Cytokine Signaling in Immune system	Immune System	0.000001	ERBB3,ERBB4,GATA3,HLA-A,HLA-B,HLA-DQA1,HLA-DQB1,HLA-DRA,IL23R,IL2RA,IL2RB,IL6R,IL7R,IRF4,MAPK14,NUP210,PSMB2,PTPN13,PTPN2,RASGRP1,SMAD3,STAT4,TNF,TNFSF15,TRIM31,TYK2	rs72743477
R-HSA-1280215	Cytokine Signaling in Immune system	Immune System	0.000001	ERBB3,ERBB4,GATA3,HLA-A,HLA-B,HLA-DQA1,HLA-DQB1,HLA-DRA,IL23R,IL2RA,IL2RB,IL6R,IL7R,IRF4,MAPK14,NUP210,PSMB2,PTPN13,PTPN2,RASGRP1,SMAD3,STAT4,TNF,TNFSF15,TRIM31,TYK2	rs73018809
R-HSA-1280215	Cytokine Signaling in Immune system	Immune System	0.000001	ERBB3,ERBB4,GATA3,HLA-A,HLA-B,HLA-DQA1,HLA-DQB1,HLA-DRA,IL23R,IL2RA,IL2RB,IL6R,IL7R,IRF4,MAPK14,NUP210,PSMB2,PTPN13,PTPN2,RASGRP1,SMAD3,STAT4,TNF,TNFSF15,TRIM31,TYK2	rs743777
R-HSA-1280215	Cytokine Signaling in Immune system	Immune System	0.000001	ERBB3,ERBB4,GATA3,HLA-A,HLA-B,HLA-DQA1,HLA-DQB1,HLA-DRA,IL23R,IL2RA,IL2RB,IL6R,IL7R,IRF4,MAPK14,NUP210,PSMB2,PTPN13,PTPN2,RASGRP1,SMAD3,STAT4,TNF,TNFSF15,TRIM31,TYK2	rs7582694
R-HSA-1280215	Cytokine Signaling in Immune system	Immune System	0.000001	ERBB3,ERBB4,GATA3,HLA-A,HLA-B,HLA-DQA1,HLA-DQB1,HLA-DRA,IL23R,IL2RA,IL2RB,IL6R,IL7R,IRF4,MAPK14,NUP210,PSMB2,PTPN13,PTPN2,RASGRP1,SMAD3,STAT4,TNF,TNFSF15,TRIM31,TYK2	rs7588550
R-HSA-1280215	Cytokine Signaling in Immune system	Immune System	0.000001	ERBB3,ERBB4,GATA3,HLA-A,HLA-B,HLA-DQA1,HLA-DQB1,HLA-DRA,IL23R,IL2RA,IL2RB,IL6R,IL7R,IRF4,MAPK14,NUP210,PSMB2,PTPN13,PTPN2,RASGRP1,SMAD3,STAT4,TNF,TNFSF15,TRIM31,TYK2	rs80028505
R-HSA-1280215	Cytokine Signaling in Immune system	Immune System	0.000001	ERBB3,ERBB4,GATA3,HLA-A,HLA-B,HLA-DQA1,HLA-DQB1,HLA-DRA,IL23R,IL2RA,IL2RB,IL6R,IL7R,IRF4,MAPK14,NUP210,PSMB2,PTPN13,PTPN2,RASGRP1,SMAD3,STAT4,TNF,TNFSF15,TRIM31,TYK2	rs8035957
R-HSA-1280215	Cytokine Signaling in Immune system	Immune System	0.000001	ERBB3,ERBB4,GATA3,HLA-A,HLA-B,HLA-DQA1,HLA-DQB1,HLA-DRA,IL23R,IL2RA,IL2RB,IL6R,IL7R,IRF4,MAPK14,NUP210,PSMB2,PTPN13,PTPN2,RASGRP1,SMAD3,STAT4,TNF,TNFSF15,TRIM31,TYK2	rs9260151
R-HSA-1280215	Cytokine Signaling in Immune system	Immune System	0.000001	ERBB3,ERBB4,GATA3,HLA-A,HLA-B,HLA-DQA1,HLA-DQB1,HLA-DRA,IL23R,IL2RA,IL2RB,IL6R,IL7R,IRF4,MAPK14,NUP210,PSMB2,PTPN13,PTPN2,RASGRP1,SMAD3,STAT4,TNF,TNFSF15,TRIM31,TYK2	rs9264758
R-HSA-1280215	Cytokine Signaling in Immune system	Immune System	0.000001	ERBB3,ERBB4,GATA3,HLA-A,HLA-B,HLA-DQA1,HLA-DQB1,HLA-DRA,IL23R,IL2RA,IL2RB,IL6R,IL7R,IRF4,MAPK14,NUP210,PSMB2,PTPN13,PTPN2,RASGRP1,SMAD3,STAT4,TNF,TNFSF15,TRIM31,TYK2	rs9268645
R-HSA-1280215	Cytokine Signaling in Immune system	Immune System	0.000001	ERBB3,ERBB4,GATA3,HLA-A,HLA-B,HLA-DQA1,HLA-DQB1,HLA-DRA,IL23R,IL2RA,IL2RB,IL6R,IL7R,IRF4,MAPK14,NUP210,PSMB2,PTPN13,PTPN2,RASGRP1,SMAD3,STAT4,TNF,TNFSF15,TRIM31,TYK2	rs9272346
R-HSA-877300	Interferon gamma signaling	Immune System	0.000006	HLA-A,HLA-B,HLA-DQA1,HLA-DQB1,HLA-DRA,IRF4,PTPN2,TRIM31	rs1050979
R-HSA-877300	Interferon gamma signaling	Immune System	0.000006	HLA-A,HLA-B,HLA-DQA1,HLA-DQB1,HLA-DRA,IRF4,PTPN2,TRIM31	rs12971201
R-HSA-877300	Interferon gamma signaling	Immune System	0.000006	HLA-A,HLA-B,HLA-DQA1,HLA-DQB1,HLA-DRA,IRF4,PTPN2,TRIM31	rs1770
R-HSA-877300	Interferon gamma signaling	Immune System	0.000006	HLA-A,HLA-B,HLA-DQA1,HLA-DQB1,HLA-DRA,IRF4,PTPN2,TRIM31	rs1893217
R-HSA-877300	Interferon gamma signaling	Immune System	0.000006	HLA-A,HLA-B,HLA-DQA1,HLA-DQB1,HLA-DRA,IRF4,PTPN2,TRIM31	rs2523989
R-HSA-877300	Interferon gamma signaling	Immune System	0.000006	HLA-A,HLA-B,HLA-DQA1,HLA-DQB1,HLA-DRA,IRF4,PTPN2,TRIM31	rs9260151
R-HSA-877300	Interferon gamma signaling	Immune System	0.000006	HLA-A,HLA-B,HLA-DQA1,HLA-DQB1,HLA-DRA,IRF4,PTPN2,TRIM31	rs9264758
R-HSA-877300	Interferon gamma signaling	Immune System	0.000006	HLA-A,HLA-B,HLA-DQA1,HLA-DQB1,HLA-DRA,IRF4,PTPN2,TRIM31	rs9268645
R-HSA-877300	Interferon gamma signaling	Immune System	0.000006	HLA-A,HLA-B,HLA-DQA1,HLA-DQB1,HLA-DRA,IRF4,PTPN2,TRIM31	rs9272346
R-HSA-913531	Interferon Signaling	Immune System	0.000066	HLA-A,HLA-B,HLA-DQA1,HLA-DQB1,HLA-DRA,IRF4,NUP210,PTPN2,TRIM31,TYK2	rs1050979
R-HSA-913531	Interferon Signaling	Immune System	0.000066	HLA-A,HLA-B,HLA-DQA1,HLA-DQB1,HLA-DRA,IRF4,NUP210,PTPN2,TRIM31,TYK2	rs12720356
R-HSA-913531	Interferon Signaling	Immune System	0.000066	HLA-A,HLA-B,HLA-DQA1,HLA-DQB1,HLA-DRA,IRF4,NUP210,PTPN2,TRIM31,TYK2	rs12971201
R-HSA-913531	Interferon Signaling	Immune System	0.000066	HLA-A,HLA-B,HLA-DQA1,HLA-DQB1,HLA-DRA,IRF4,NUP210,PTPN2,TRIM31,TYK2	rs1770
R-HSA-913531	Interferon Signaling	Immune System	0.000066	HLA-A,HLA-B,HLA-DQA1,HLA-DQB1,HLA-DRA,IRF4,NUP210,PTPN2,TRIM31,TYK2	rs1893217
R-HSA-913531	Interferon Signaling	Immune System	0.000066	HLA-A,HLA-B,HLA-DQA1,HLA-DQB1,HLA-DRA,IRF4,NUP210,PTPN2,TRIM31,TYK2	rs2304256
R-HSA-913531	Interferon Signaling	Immune System	0.000066	HLA-A,HLA-B,HLA-DQA1,HLA-DQB1,HLA-DRA,IRF4,NUP210,PTPN2,TRIM31,TYK2	rs2523989
R-HSA-913531	Interferon Signaling	Immune System	0.000066	HLA-A,HLA-B,HLA-DQA1,HLA-DQB1,HLA-DRA,IRF4,NUP210,PTPN2,TRIM31,TYK2	rs34536443
R-HSA-913531	Interferon Signaling	Immune System	0.000066	HLA-A,HLA-B,HLA-DQA1,HLA-DQB1,HLA-DRA,IRF4,NUP210,PTPN2,TRIM31,TYK2	rs73018809
R-HSA-913531	Interferon Signaling	Immune System	0.000066	HLA-A,HLA-B,HLA-DQA1,HLA-DQB1,HLA-DRA,IRF4,NUP210,PTPN2,TRIM31,TYK2	rs9260151
R-HSA-913531	Interferon Signaling	Immune System	0.000066	HLA-A,HLA-B,HLA-DQA1,HLA-DQB1,HLA-DRA,IRF4,NUP210,PTPN2,TRIM31,TYK2	rs9264758
R-HSA-913531	Interferon Signaling	Immune System	0.000066	HLA-A,HLA-B,HLA-DQA1,HLA-DQB1,HLA-DRA,IRF4,NUP210,PTPN2,TRIM31,TYK2	rs9268645
R-HSA-913531	Interferon Signaling	Immune System	0.000066	HLA-A,HLA-B,HLA-DQA1,HLA-DQB1,HLA-DRA,IRF4,NUP210,PTPN2,TRIM31,TYK2	rs9272346
R-HSA-9020933	Interleukin-23 signaling	Immune System	0.000103	IL23R,STAT4,TYK2	rs11580078
R-HSA-9020933	Interleukin-23 signaling	Immune System	0.000103	IL23R,STAT4,TYK2	rs12720356
R-HSA-9020933	Interleukin-23 signaling	Immune System	0.000103	IL23R,STAT4,TYK2	rs2304256
R-HSA-9020933	Interleukin-23 signaling	Immune System	0.000103	IL23R,STAT4,TYK2	rs34536443
R-HSA-9020933	Interleukin-23 signaling	Immune System	0.000103	IL23R,STAT4,TYK2	rs7582694
R-HSA-168256	Immune System	Immune System	0.000112	BTNL2,CARD9,CD226,CFB,CLEC2D,COLEC10,CTSH,ERAP2,ERBB3,ERBB4,GATA3,HLA-A,HLA-B,HLA-DQA1,HLA-DQB1,HLA-DRA,IFIH1,IL23R,IL2RA,IL2RB,IL6R,IL7R,IRF4,KLRG1,LMO7,MAPK14,NUP210,PGM1,PRKCQ,PSMB2,PTPN13,PTPN2,PTPN22,RAB5B,RASGRP1,SMAD3,STAT4,TAP2,TNF,TNFSF15,TRIM31,TYK2	rs1015166
R-HSA-168256	Immune System	Immune System	0.000112	BTNL2,CARD9,CD226,CFB,CLEC2D,COLEC10,CTSH,ERAP2,ERBB3,ERBB4,GATA3,HLA-A,HLA-B,HLA-DQA1,HLA-DQB1,HLA-DRA,IFIH1,IL23R,IL2RA,IL2RB,IL6R,IL7R,IRF4,KLRG1,LMO7,MAPK14,NUP210,PGM1,PRKCQ,PSMB2,PTPN13,PTPN2,PTPN22,RAB5B,RASGRP1,SMAD3,STAT4,TAP2,TNF,TNFSF15,TRIM31,TYK2	rs1050979
R-HSA-168256	Immune System	Immune System	0.000112	BTNL2,CARD9,CD226,CFB,CLEC2D,COLEC10,CTSH,ERAP2,ERBB3,ERBB4,GATA3,HLA-A,HLA-B,HLA-DQA1,HLA-DQB1,HLA-DRA,IFIH1,IL23R,IL2RA,IL2RB,IL6R,IL7R,IRF4,KLRG1,LMO7,MAPK14,NUP210,PGM1,PRKCQ,PSMB2,PTPN13,PTPN2,PTPN22,RAB5B,RASGRP1,SMAD3,STAT4,TAP2,TNF,TNFSF15,TRIM31,TYK2	rs11145763
R-HSA-168256	Immune System	Immune System	0.000112	BTNL2,CARD9,CD226,CFB,CLEC2D,COLEC10,CTSH,ERAP2,ERBB3,ERBB4,GATA3,HLA-A,HLA-B,HLA-DQA1,HLA-DQB1,HLA-DRA,IFIH1,IL23R,IL2RA,IL2RB,IL6R,IL7R,IRF4,KLRG1,LMO7,MAPK14,NUP210,PGM1,PRKCQ,PSMB2,PTPN13,PTPN2,PTPN22,RAB5B,RASGRP1,SMAD3,STAT4,TAP2,TNF,TNFSF15,TRIM31,TYK2	rs11171739
R-HSA-168256	Immune System	Immune System	0.000112	BTNL2,CARD9,CD226,CFB,CLEC2D,COLEC10,CTSH,ERAP2,ERBB3,ERBB4,GATA3,HLA-A,HLA-B,HLA-DQA1,HLA-DQB1,HLA-DRA,IFIH1,IL23R,IL2RA,IL2RB,IL6R,IL7R,IRF4,KLRG1,LMO7,MAPK14,NUP210,PGM1,PRKCQ,PSMB2,PTPN13,PTPN2,PTPN22,RAB5B,RASGRP1,SMAD3,STAT4,TAP2,TNF,TNFSF15,TRIM31,TYK2	rs11258747
R-HSA-168256	Immune System	Immune System	0.000112	BTNL2,CARD9,CD226,CFB,CLEC2D,COLEC10,CTSH,ERAP2,ERBB3,ERBB4,GATA3,HLA-A,HLA-B,HLA-DQA1,HLA-DQB1,HLA-DRA,IFIH1,IL23R,IL2RA,IL2RB,IL6R,IL7R,IRF4,KLRG1,LMO7,MAPK14,NUP210,PGM1,PRKCQ,PSMB2,PTPN13,PTPN2,PTPN22,RAB5B,RASGRP1,SMAD3,STAT4,TAP2,TNF,TNFSF15,TRIM31,TYK2	rs11580078
R-HSA-168256	Immune System	Immune System	0.000112	BTNL2,CARD9,CD226,CFB,CLEC2D,COLEC10,CTSH,ERAP2,ERBB3,ERBB4,GATA3,HLA-A,HLA-B,HLA-DQA1,HLA-DQB1,HLA-DRA,IFIH1,IL23R,IL2RA,IL2RB,IL6R,IL7R,IRF4,KLRG1,LMO7,MAPK14,NUP210,PGM1,PRKCQ,PSMB2,PTPN13,PTPN2,PTPN22,RAB5B,RASGRP1,SMAD3,STAT4,TAP2,TNF,TNFSF15,TRIM31,TYK2	rs1270942
R-HSA-168256	Immune System	Immune System	0.000112	BTNL2,CARD9,CD226,CFB,CLEC2D,COLEC10,CTSH,ERAP2,ERBB3,ERBB4,GATA3,HLA-A,HLA-B,HLA-DQA1,HLA-DQB1,HLA-DRA,IFIH1,IL23R,IL2RA,IL2RB,IL6R,IL7R,IRF4,KLRG1,LMO7,MAPK14,NUP210,PGM1,PRKCQ,PSMB2,PTPN13,PTPN2,PTPN22,RAB5B,RASGRP1,SMAD3,STAT4,TAP2,TNF,TNFSF15,TRIM31,TYK2	rs12720356
R-HSA-168256	Immune System	Immune System	0.000112	BTNL2,CARD9,CD226,CFB,CLEC2D,COLEC10,CTSH,ERAP2,ERBB3,ERBB4,GATA3,HLA-A,HLA-B,HLA-DQA1,HLA-DQB1,HLA-DRA,IFIH1,IL23R,IL2RA,IL2RB,IL6R,IL7R,IRF4,KLRG1,LMO7,MAPK14,NUP210,PGM1,PRKCQ,PSMB2,PTPN13,PTPN2,PTPN22,RAB5B,RASGRP1,SMAD3,STAT4,TAP2,TNF,TNFSF15,TRIM31,TYK2	rs12722495
R-HSA-168256	Immune System	Immune System	0.000112	BTNL2,CARD9,CD226,CFB,CLEC2D,COLEC10,CTSH,ERAP2,ERBB3,ERBB4,GATA3,HLA-A,HLA-B,HLA-DQA1,HLA-DQB1,HLA-DRA,IFIH1,IL23R,IL2RA,IL2RB,IL6R,IL7R,IRF4,KLRG1,LMO7,MAPK14,NUP210,PGM1,PRKCQ,PSMB2,PTPN13,PTPN2,PTPN22,RAB5B,RASGRP1,SMAD3,STAT4,TAP2,TNF,TNFSF15,TRIM31,TYK2	rs12971201
R-HSA-168256	Immune System	Immune System	0.000112	BTNL2,CARD9,CD226,CFB,CLEC2D,COLEC10,CTSH,ERAP2,ERBB3,ERBB4,GATA3,HLA-A,HLA-B,HLA-DQA1,HLA-DQB1,HLA-DRA,IFIH1,IL23R,IL2RA,IL2RB,IL6R,IL7R,IRF4,KLRG1,LMO7,MAPK14,NUP210,PGM1,PRKCQ,PSMB2,PTPN13,PTPN2,PTPN22,RAB5B,RASGRP1,SMAD3,STAT4,TAP2,TNF,TNFSF15,TRIM31,TYK2	rs13259300
R-HSA-168256	Immune System	Immune System	0.000112	BTNL2,CARD9,CD226,CFB,CLEC2D,COLEC10,CTSH,ERAP2,ERBB3,ERBB4,GATA3,HLA-A,HLA-B,HLA-DQA1,HLA-DQB1,HLA-DRA,IFIH1,IL23R,IL2RA,IL2RB,IL6R,IL7R,IRF4,KLRG1,LMO7,MAPK14,NUP210,PGM1,PRKCQ,PSMB2,PTPN13,PTPN2,PTPN22,RAB5B,RASGRP1,SMAD3,STAT4,TAP2,TNF,TNFSF15,TRIM31,TYK2	rs1615504
R-HSA-168256	Immune System	Immune System	0.000112	BTNL2,CARD9,CD226,CFB,CLEC2D,COLEC10,CTSH,ERAP2,ERBB3,ERBB4,GATA3,HLA-A,HLA-B,HLA-DQA1,HLA-DQB1,HLA-DRA,IFIH1,IL23R,IL2RA,IL2RB,IL6R,IL7R,IRF4,KLRG1,LMO7,MAPK14,NUP210,PGM1,PRKCQ,PSMB2,PTPN13,PTPN2,PTPN22,RAB5B,RASGRP1,SMAD3,STAT4,TAP2,TNF,TNFSF15,TRIM31,TYK2	rs1770
R-HSA-168256	Immune System	Immune System	0.000112	BTNL2,CARD9,CD226,CFB,CLEC2D,COLEC10,CTSH,ERAP2,ERBB3,ERBB4,GATA3,HLA-A,HLA-B,HLA-DQA1,HLA-DQB1,HLA-DRA,IFIH1,IL23R,IL2RA,IL2RB,IL6R,IL7R,IRF4,KLRG1,LMO7,MAPK14,NUP210,PGM1,PRKCQ,PSMB2,PTPN13,PTPN2,PTPN22,RAB5B,RASGRP1,SMAD3,STAT4,TAP2,TNF,TNFSF15,TRIM31,TYK2	rs1893217
R-HSA-168256	Immune System	Immune System	0.000112	BTNL2,CARD9,CD226,CFB,CLEC2D,COLEC10,CTSH,ERAP2,ERBB3,ERBB4,GATA3,HLA-A,HLA-B,HLA-DQA1,HLA-DQB1,HLA-DRA,IFIH1,IL23R,IL2RA,IL2RB,IL6R,IL7R,IRF4,KLRG1,LMO7,MAPK14,NUP210,PGM1,PRKCQ,PSMB2,PTPN13,PTPN2,PTPN22,RAB5B,RASGRP1,SMAD3,STAT4,TAP2,TNF,TNFSF15,TRIM31,TYK2	rs1980493
R-HSA-168256	Immune System	Immune System	0.000112	BTNL2,CARD9,CD226,CFB,CLEC2D,COLEC10,CTSH,ERAP2,ERBB3,ERBB4,GATA3,HLA-A,HLA-B,HLA-DQA1,HLA-DQB1,HLA-DRA,IFIH1,IL23R,IL2RA,IL2RB,IL6R,IL7R,IRF4,KLRG1,LMO7,MAPK14,NUP210,PGM1,PRKCQ,PSMB2,PTPN13,PTPN2,PTPN22,RAB5B,RASGRP1,SMAD3,STAT4,TAP2,TNF,TNFSF15,TRIM31,TYK2	rs1990760
